iter	Passed	Remaining
0	4	461
1	9	459
2	14	453
3	17	426
4	22	427
5	27	429
6	32	432
7	36	419
8	39	400
9	42	380
10	44	358
11	46	340
12	48	323
13	50	307
14	51	294
15	53	281
16	55	268
17	56	256
18	57	245
19	58	235
20	60	226
21	61	217
22	62	209
23	63	201
24	64	194
25	66	188
26	67	181
27	68	175
28	69	169
29	70	163
30	71	158
31	72	153
32	73	148
33	74	143
34	75	139
35	76	135
36	76	130
37	77	127
38	78	123
39	79	119
40	80	116
41	81	112
42	82	108
43	83	105
44	84	102
45	85	99
46	85	96
47	86	94
48	87	91
49	88	88
50	89	86
51	90	83
52	91	81
53	92	78
54	93	76
55	94	73
56	95	71
57	95	69
58	96	67
59	97	65
60	98	63
61	99	61
62	100	59
63	101	57
64	102	55
65	103	53
66	104	51
67	105	49
68	106	47
69	107	46
70	108	44
71	109	42
72	110	40
73	111	39
74	111	37
75	112	35
76	113	34
77	114	32
78	115	30
79	116	29
80	117	27
81	118	26
82	119	24
83	120	22
84	121	21
85	122	19
86	123	18
87	124	16
88	125	15
89	126	14
90	127	12
91	128	11
92	128	9
93	129	8
94	130	6
95	131	5
96	132	4
97	133	2
98	134	1
99	135	0
